4K频道,#genre#
中国教育-4 8M ,https://live.goodiptv.club/api/bestv.php?id=zgjy4hd8m/8000000
卡酷少儿 8M ,https://live.goodiptv.club/api/bestv.php?id=kkse8m/8000000
纪实科教 8M ,https://live.goodiptv.club/api/bestv.php?id=dajs8m/8000000
茶频道 8M ,https://live.goodiptv.club/api/bestv.php?id=cpdhdavs8m/8000000
足球高清 8M ,https://live.goodiptv.club/api/bestv.php?id=zqpd8m/8000000
炫动卡通 8M ,https://live.goodiptv.club/api/bestv.php?id=hhxd8m/8000000
东方财经 8M ,https://live.goodiptv.club/api/bestv.php?id=dfcjhd8m/8000000
都市剧场 8M ,https://live.goodiptv.club/api/bestv.php?id=dsjc8m/8000000
动漫秀场 8M ,https://live.goodiptv.club/api/bestv.php?id=dmxc8m/8000000
法治天地 8M ,https://live.goodiptv.club/api/bestv.php?id=fztd8m/8000000
金色学堂 8M ,https://live.goodiptv.club/api/bestv.php?id=jingsepd8m/8000000
魅力足球 8M ,https://live.goodiptv.club/api/bestv.php?id=mlyyhd8m/8000000

上海,#genre#
上海第一财经 8M ,https://live.goodiptv.club/api/bestv.php?id=dycjhd8m/8000000
上海都市 8M ,https://live.goodiptv.club/api/bestv.php?id=dshd8m/8000000
上海纪实 8M ,https://live.goodiptv.club/api/bestv.php?id=jspdhd/4000000
上海教育 8M ,https://live.goodiptv.club/api/bestv.php?id=setvhd/8000000
