央視頻道,#genre#
西藏衛視,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001072/index.m3u8
兵團衛視,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001066/index.m3u8
內蒙古衛視,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001068/index.m3u8

紀實電影,#genre#
北京紀實科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001231/index.m3u8
上海紀實人文,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001019/index.m3u8
湖南金鷹紀實,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001230/index.m3u8

CHC電影,#genre#
CHC動作電影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清電影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com


